brand,mm,diafram,port,addon,gearsleeve,publish
Canon,8-15,f4L,L-LD-7012,,N/A,hide
Canon,8-15,f4L,L-LD-6022,,N/A,show
Canon,10-18,f4.5-5.6 IS,L-LP-80,,GS 10-18,show
Canon,10-22,f3.5-4.5,L-LP-100,,GS 70-200 f4,show
Canon,14,f2.8 L,L-LD-4312,L-SP-80,N/A,hide
Canon,15,f2.8 EF,L-LD-4512,,N/A,hide
Canon,16-35,f2.8 V.1,L-LP-65,L-SP-40,GS 16-35,show
Canon,16-35,f2.8 V.2,L-LP-120,,GS 16-35,show
Canon,16-35,f4 IS,L-LP-120,,GS 16-35,show
Canon,17-35,f2.8,L-LP-100,,GS 16-35,show
Canon,17-40,f4,L-LP-100,,GS 16-35,show
Canon,18-55,f3.5-5.6 IS STM,L-LP-90,,GS 18-55,show
Canon,18-55,f3.5-5.6 IS II ,L-LP-90,,GS 18-55,show
Canon,20,f2.8,L-LP-80,,N/A,show
Canon,24,f2.8 IS,L-LP-65,,N/A,show
Canon,24,f1.4 L II USM,L-LP-90,,N/A,show
Canon,24-70,f2.8,L-LP-130,L-SP-30,,GS 24-70 f2.8,show
Canon,24-70,f4 IS,L-LT-130,,GS 24-70 f2.8,show
Canon,24-70,f2.8 II,L-LT-150,,GS 24-70 f2.8,hide
Canon,24-105,f4 IS V.1,L-LT-140,,GS 24-70 f2.8,hide
Canon,24-105,f4 IS V.2,L-LT-160,,GS 24-70 f2.8,hide
Canon,28,f2.8 IS,L-LP-65,,N/A,show
Canon,28,f1.8,L-LP-65,,N/A,show
Canon,35,f2,L-LP-45,,N/A,hide
Canon,35,f2 IS USM,L-LP-65,,N/A,show
Canon,35,f1.4 L,L-LP-90,,N/A,show
Canon,35,f1.4 II L,L-LP-65,L-SP-50,N/A,show
Canon,50,f1.8 II,L-LP-50,,N/A,hide
Canon,50,f1.8 STM,L-LP-65,,N/A,show
Canon,50,f1.4,L-LP-65,,N/A,show
Canon,50,f1.2 L USM,L-LP-80,,N/A,show
Canon,70-200,f4,L-LP-185,,GS 70-200 f4,show
Canon,70-200,f4 IS,L-LP-185,,GS 70-200 f4,show
Canon,70-200,f2.8,L-LP-220,,GS 70-200 f2.8,show
Canon,70-200,f2.8 IS,L-LP-220,,GS 70-200 f2.8,show
Canon,70-200,f2.8 IS II,L-LP-220,,GS 70-200 f2.8,show
Canon,85,f1.8,L-LP-80,,N/A,show
Canon,85,f1.2 L II USM,L-LP-90,,N/A,show
Canon,100,f2,L-LP-80,,N/A,show
Canon,100,f2.8 Macro,L-LP-130,,N/A,show
