brand,mm,aperture,port,addon,gearsleeve,publish
Sigma,8-16,f4.5-5.6,L-LD-4512,L-SP-60,Please Inquire,hide
Sigma,10,f2.8 EX DC HSM,L-LD-5012,,N/A,hide
Sigma,10-20,f4-5.6,L-LP-90,,GS 24-70 f2.8,show
Sigma,10-20,f3.5,L-LP-100,,Please Inquire,show
Sigma,10-20,f3.5,L-LP-65,L-SP-30,Please Inquire,show
Sigma,12-24,f4.5-5.6,L-LP-120,,Please Inquire,show
Sigma,15,f2.8 EX DG,L-LD-4512,,N/A,hide
Sigma,24,f1.4 DG ART,L-LP-100,,N/A,show
Sigma,24-35,f2 ART,L-LP-130,,Please Inquire,show
Sigma,30,f1.4 DC ART,L-LP-65,,N/A,show
Sigma,35,f1.4 DG ART,L-LP-100,,N/A,show
Sigma,50,f1.4 EX DG HSM ART,,L-LP-70,N/A,hide
Sigma,50,f1.4 DG ART,L-LP-65,L-SP-40,N/A,show
Sigma,85,f1.4 EX DG HSM,L-LP-90,,N/A,show
