brand,mm,aperture,port,gearsleeve,publish
Sony NEX PZ,16-50,f3.5-5.6 OSS,S-LP-55,,show
Sony NEX,35,f1.8 OSS,S-LP-55,,show
Sony Zies F,35,f2.8,S-LP-55,,show
Sony NEX E-mount,16,f2.8,S-LP-35,,show
Sony NEX,20,f2.8,S-LP-35,,show
Sony NEX Carl Zeiss,24,f1.8,S-LP-70,,show
Sony NEX,30,f3.5 macro,S-LP-70,,show
Sony NEX,50,f1.8 OSS,S-LP-70,,show
Sony SEL with Sony Fisheye Converter,16,f2.8,S-LD-4910,,show
Sony SEL with Sony Fisheye Converter,16,f2.8,S-LD-4916,,show
Sony NEX,55-210,f4.5-6.3 OSS,S-LP-160,,show
Sigma NEX,19,f2.8 EX DN,S-LP-55,,show
Sigma NEX,30,f2.8 EX DN,S-LP-55,,show
Sigma NEX,60,f2.8 DN A,S-LP-70,,show
Samyang fish eye v.1,8,f2.8,S-LD-4310,,hide
Samyang fish eye v.2,8,f2.8,S-LD-4910,,show
Samyang fish eye v.2,8,f2.8,S-LD-4916,,show
Zeiss Touit 'E' mount,32,f1.8,S-LP-55,,show
Meike Fisheye Lens for Sony,6.5,f2.0,S-LD-4310,,hide
